Date,Day,Hour,Minute,Mean Activity (g),Asleep (proportion),Wearing (proportion),Sedentary Activity (proportion),Light Activity (proportion),Moderate Activity (proportion),Vigorous Activity (proportion),Steps (average per min)
2018-03-15T06:00:00.000Z,3,78,4680,0.0001115666666009929,0.25,0,1,0,0,0,0
2018-03-15T07:00:00.000Z,3,79,4740,0.0001962499993775661,0,0.5,1,0,0,0,0
2018-03-15T08:00:00.000Z,3,80,4800,0.00816320002146919,0,0.5,0.9666666666666668,0.03333333333333333,0,0,2.85
2018-03-15T09:00:00.000Z,3,81,4860,0.05532938328882058,0,1,0.8166666666666667,0.11666666666666668,0.06666666666666667,0,18.016666666666666
2018-03-15T10:00:00.000Z,3,82,4920,0.04772421628391991,0,1,0.7833333333333333,0.016666666666666666,0.2,0,24.6
2018-03-15T11:00:00.000Z,3,83,4980,0.012378116621403024,0,1,1,0,0,0,3.583333333333333
2018-03-15T12:00:00.000Z,3,84,5040,0.007404333356923113,0,1,1,0,0,0,1.5166666666666666
2018-03-15T13:00:00.000Z,3,85,5100,0.021527549983390296,0,1,0.95,0.03333333333333333,0.016666666666666666,0,8.316666666666666
2018-03-08T14:00:00.000Z,3,86,5160,0.017033383382173875,0,1,0.9666666666666668,0.03333333333333333,0,0,5.733333333333333
2018-03-08T15:00:00.000Z,3,87,5220,0.07216991690996413,0,1,0.6833333333333333,0.03333333333333333,0.2833333333333333,0,30.966666666666665
2018-03-08T16:00:00.000Z,3,88,5280,0.07656504977494479,0,1,0.6333333333333333,0.15,0.21666666666666667,0,30
2018-03-08T17:00:00.000Z,3,89,5340,0.06663651609342196,0.47540983606557374,1,0.7166666666666667,0.016666666666666666,0.26666666666666666,0,26.1
2018-03-08T18:00:00.000Z,3,90,5400,0.002488233323189585,0.8253968253968254,1,1,0,0,0,0.05
2018-03-08T19:00:00.000Z,3,91,5460,0.03643578342259086,0.25,1,0.8666666666666667,0.05,0.08333333333333333,0,14.433333333333334
2018-03-08T20:00:00.000Z,3,92,5520,0.035893833275986255,0.4426229508196721,1,0.8333333333333334,0.11666666666666668,0.05,0,12.7
2018-03-08T21:00:00.000Z,3,93,5580,0.00022598333186275944,1,0,1,0,0,0,0
2018-03-08T22:00:00.000Z,3,94,5640,0.0002179666667264731,1,0,1,0,0,0,0
2018-03-08T23:00:00.000Z,3,95,5700,0.0002661500002432149,1,0,1,0,0,0,0
2018-03-09T00:00:00.000Z,4,96,5760,0.04240854993865165,0.25,1,0.8,0.1,0.1,0,14.583333333333334
2018-03-09T01:00:00.000Z,4,97,5820,0.000960483337015224,1,0.5,1,0,0,0,0
2018-03-09T02:00:00.000Z,4,98,5880,0.0008568500003699834,1,0,1,0,0,0,0
2018-03-09T03:00:00.000Z,4,99,5940,0.0008242333336966112,1,1,1,0,0,0,0
2018-03-09T04:00:00.000Z,4,100,6000,0.0008006000018212945,1,0.5,1,0,0,0,0
2018-03-09T05:00:00.000Z,4,101,6060,0.0007747499999823049,1,0,1,0,0,0,0
2018-03-09T06:00:00.000Z,4,102,6120,0.034601399847694364,0.55,1,0.8666666666666667,0.06666666666666667,0.06666666666666667,0,13.316666666666666
2018-03-09T07:00:00.000Z,4,103,6180,0.036755433515645565,0,1,0.9166666666666666,0.05,0.03333333333333333,0,8.1
2018-03-09T08:00:00.000Z,4,104,6240,0.11343783240299672,0,1,0.4833333333333333,0.1,0.4166666666666667,0,49.86666666666667
2018-03-09T09:00:00.000Z,4,105,6300,0.05317100007086992,0,1,0.7833333333333333,0.06666666666666667,0.15,0,16.6
2018-03-09T10:00:00.000Z,4,106,6360,0.04038268327713013,0,1,0.9,0.08333333333333333,0.016666666666666666,0,15.4
2018-03-09T11:00:00.000Z,4,107,6420,0.08612326672300696,0,1,0.7,0.08333333333333333,0.21666666666666667,0,30.58333333333333
2018-03-09T12:00:00.000Z,4,108,6480,0.061379382751571634,0,1,0.6833333333333333,0.15,0.16666666666666666,0,20.03333333333333
2018-03-09T13:00:00.000Z,4,109,6540,0.06872588328551502,0,1,0.7333333333333333,0.03333333333333333,0.2333333333333333,0,29.08333333333333
2018-03-09T14:00:00.000Z,4,110,6600,0.07641791701316833,0,1,0.7,0.1,0.2,0,27.25
2018-03-09T15:00:00.000Z,4,111,6660,0.11928571679163724,0,1,0.4166666666666667,0.16666666666666666,0.4166666666666667,0,52.68333333333333
2018-03-09T16:00:00.000Z,4,112,6720,0.03152890004372845,0,1,0.9333333333333332,0.05,0.016666666666666666,0,10.983333333333333
2018-03-09T17:00:00.000Z,4,113,6780,0.0351793499973913,0,1,0.8833333333333333,0.08333333333333333,0.03333333333333333,0,10.383333333333333
