hourinweek,Female Mean Activity (g),Male Mean Activity (g),Female Asleep (proportion),Male Asleep (proportion),Female Steps (average per min),Male Steps (average per min),Female Sedentary Activity (proportion),Male Sedentary Activity (proportion),Female Light Activity (proportion),Male Light Activity (proportion),Female Moderate Activity (proportion),Male Moderate Activity (proportion),Female Vigorous Activity (proportion),Male Vigorous Activity (proportion)
53,0.005667347102866796,0.005459492691994633,0.518186704009533,0.5283705661380487,1.011013071895425,0.8767206477732794,0.9889869281045744,0.992307692307692,0.004019607843137254,0.004183535762483133,0.006960784313725491,0.003508771929824561,0.0000326797385620915,0
54,0.013378965873067677,0.009749996102626416,0.4497414463527976,0.4647910569394279,3.528823529411765,2.3512145748987847,0.9499019607843128,0.9686909581646422,0.01581699346405229,0.013832658569500675,0.032647058823529425,0.01707152496626181,0.001633986928104575,0.0004048582995951417
55,0.02902084628504854,0.022073903641909056,0.3487958375635366,0.37099683379045495,8.76835773078059,6.347503373819163,0.8747228321584033,0.915114709851552,0.04252141197015806,0.02469635627530365,0.07863175263556635,0.05836707152496626,0.004124003235871953,0.0018218623481781368
56,0.04317832580399351,0.03605275086379856,0.27093960251550964,0.2952656190830878,14.252062868369354,10.70620782726046,0.8132940406024886,0.8593792172739536,0.05173542894564508,0.03893387314439948,0.1308447937131631,0.09743589743589748,0.004125736738703342,0.004251012145748989
57,0.04704896535221709,0.0475578791426108,0.20080586161416183,0.252818178352623,16.417405883995126,14.536804063022386,0.8073708305149555,0.8281242738136234,0.04482336629650539,0.04030844943480067,0.14484910064345977,0.1246785652110834,0.002956702545079536,0.006888711540492505
58,0.03779303410898198,0.039167549576476175,0.23191145391110576,0.23229705253019584,12.323394843319642,12.27290194126431,0.8581268343903142,0.8606122448979592,0.04754142683397571,0.04170068027210885,0.09329273676671568,0.09510204081632656,0.0010390020089944437,0.002585034013605441
59,0.040374152845044,0.04299763376750889,0.19589956903131703,0.18940524242651835,13.82919469012064,13.917467898716582,0.8481047351361066,0.842690465523879,0.04715451412315806,0.04516335138467525,0.1040078739876881,0.1105288932344031,0.0007328767530472338,0.0016172898570424635
60,0.04897192685970804,0.0500668853356322,0.13190067589846,0.15641047867668234,16.965198956294845,16.30168010752688,0.8113176777560338,0.8156586021505376,0.05427266797129811,0.04704301075268819,0.13251793868232223,0.1323924731182796,0.0018917155903457271,0.004905913978494621
61,0.05376359007105398,0.05586340111643588,0.11998800898106536,0.1458431285965447,19.442596216568827,18.05558584737277,0.7820336651635046,0.795515813416917,0.05604584516139015,0.04919980627748032,0.15989766635984629,0.1507808758869879,0.002022823315259289,0.004503504418614773
62,0.04466894604049517,0.0456204946320493,0.16802856684711512,0.23317331820398837,15.153927334989088,14.11462450592885,0.8321736158149572,0.8367588932806321,0.05085208599884598,0.04499341238471676,0.11361117382905594,0.11271409749670618,0.0033631243571410644,0.005533596837944663
63,0.04595988255774154,0.05260890752658956,0.16620466982606455,0.21072036248770343,15.358608414239486,16.36383399209486,0.8281877022653723,0.8101449275362318,0.050970873786407765,0.05138339920948619,0.11744336569579288,0.13036890645586294,0.0033980582524271866,0.008102766798418969
64,0.05334598670096447,0.05314030453584125,0.16442023139370152,0.2000993476633053,18.2950846209059,16.394729907773392,0.7859649553599536,0.8074440052700922,0.05868768337677706,0.05065876152832678,0.15090898215657392,0.1369565217391304,0.004438379106695377,0.004940711462450593
65,0.05799061113630832,0.060777014048668206,0.15474086886825036,0.19180391434977412,18.99571984435797,19.05757575757576,0.7688391699092086,0.7649538866930171,0.06783398184176392,0.05704874835309621,0.15554474708171198,0.16949934123847166,0.007782101167315175,0.008498023715415018
66,0.05359956193480454,0.047372637256967394,0.17178896036234695,0.20712479115204613,16.72273022049286,14.46772068511199,0.7851815823605705,0.8169301712779973,0.07130350194552533,0.05922266139657448,0.13433852140077823,0.11943346508563904,0.009176394293125808,0.004413702239789196
67,0.04765438262755387,0.0419712862914012,0.1836713795722608,0.1957322077873243,14.581452658884563,12.422068511198944,0.810765239948119,0.845256916996047,0.06514267185473406,0.051515151515151576,0.11579118028534362,0.0997364953886693,0.00830090791180285,0.0034914361001317524
